outer_bc,r,sig_rr,sig_tt,sig_rt_abs,mu,eta,level,n,ana_sig_r,ana_sig_th
free,0.07491041666666667,-2691464.4550643624,-563812.3083965144,55684.88003351189,113600000.0,1.0,2,18,-2955551.1436934033,-464124.7263799813
free,0.07564125,-2557749.737930226,-541071.5321438257,59186.50181016591,221856544.11764488,1.0,2,18,-2931595.0089367186,-488080.86113666627
free,0.07637208333333334,-2577418.1199143804,650283.3206880644,87474.49488949266,1634346691.1764684,1.0,2,18,-2908324.411942219,-511351.45813116577
free,0.07710291666666666,-2564489.698896837,2958588.481636464,32549.47295213995,3341469117.6470575,1.0,2,26,-2885712.2759621576,-533963.5941112268
free,0.07783375000000001,-2492135.4619907425,5700745.728530219,19147.138635573894,5315069191.176471,1.0,2,19,-2863733.634807614,-555942.2352657702
free,0.07856458333333333,-2403979.199262367,8708335.17585746,18046.53648944407,8258616176.470591,1.0,2,18,-2842365.0597931887,-577310.810280196
free,0.07929541666666667,-2298735.925457115,11872633.594877945,28434.04051932519,10945202573.529411,1.0,2,18,-2821585.626249012,-598090.2438243724
free,0.08002625,-2165688.0156401694,15048994.938157227,33999.494272518205,13645271470.588234,1.0,2,18,-2801372.6977039585,-618303.1723694259
free,0.08075708333333334,-2007069.236203769,18062978.564282198,32255.597785647584,16219041066.176472,1.0,2,18,-2757559.1501947846,33510367.16771602
free,0.08148791666666666,-1959927.4333808743,20574668.294935815,70042.06540710814,17873621397.058823,1.0,2,30,-2433744.614118771,33186552.63164001
free,0.08221875000000001,-1836536.0699776371,23516948.656196885,135047.90105856658,19442466101.501534,1.0,2,89,-2118527.3606914,32871335.37821264
free,0.08294958333333333,-1636864.0589969829,26027675.235755533,164838.17449903794,21465712414.255066,1.0,2,158,-1811604.5244616123,32564412.54198285
free,0.08368041666666667,-1397928.3695175364,27725371.956893608,164373.83341635673,23210708658.488594,1.0,2,301,-1512688.169222098,32265496.186743334
free,0.08441125,-1145556.3927841166,28828627.432493027,144692.16492682853,24248464588.43474,1.0,2,467,-1221502.6909596343,31974310.708480872
free,0.08514208333333334,-880429.0355616534,29660461.97979397,122747.33946090288,24930858958.04583,1.0,2,670,-937782.8222176346,31690590.83973887
free,0.08587291666666666,-639339.0905382015,30043029.511434,114862.09548063185,25378861919.693863,1.0,2,827,-661276.1099835032,31414084.12750474
free,0.08660375000000001,-383500.3291222655,30115491.602980856,104003.81344331673,25497018276.954258,1.0,2,901,-391740.30827448424,31144548.32579566
free,0.08733458333333333,-48540.08877371542,9869624.216753773,60962.54833839829,2409555257.1820135,1.0,2,2779,-128942.29328208095,30881750.310803197
