Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
0.1,394424,12,32868.7,23568.0,20000,62591,16325.6,"void amrex::launch_global<(int)256, std::enable_if<amrex::MaybeDeviceRunnable<T2, void>::value, void>::type amrex::ParallelFor<(int)256, Operator::Elastic<(int)1>::SetModel(int, const amrex::FabArray<amrex::BaseFab<Set::Matrix4<(int)2, (int)1>>> &)::[lambda(int, int, int) (instance 1)], (int)2>(const amrex::Gpu::KernelInfo &, const amrex::BoxND<T3> &, const T2 &)::[lambda() (instance 1)]>(T2)"
0.1,349115,224,1558.5,1536.0,1440,1984,111.0,"void amrex::launch_global<(int)256, std::enable_if<amrex::MaybeDeviceRunnable<T3, void>::value, void>::type amrex::ParallelFor<(int)256, int, amrex::FabArray<amrex::IArrayBox>::ParallelCopy_nowait(const amrex::FabArray<amrex::IArrayBox>&, int, int, int, const amrex::IntVectND<(int)2> &, const amrex::IntVectND<(int)2> &, const amrex::IntVectND<(int)2> &, const amrex::Periodicity &, amrex::FabArrayBase::CpOp, const amrex::FabArrayBase::CPC *, bool, bool)::[lambda(int, int, int, int) (instance 1)], (int)2, void>(const amrex::Gpu::KernelInfo &, const amrex::BoxND<T4> &, T2, const T3 &)::[lambda() (instance 1)]>(T2)"
0.1,342365,56,6113.7,6304.0,4864,7968,563.9,"void amrex::launch_global<(int)256, void amrex::ReduceOps<amrex::ReduceOpMax>::eval_box<amrex::Reduce::detail::iterate_box, (int)2, amrex::ReduceData<double>, std::enable_if<amrex::IsFabArray<T1, void>::value, void>::type amrex::ReduceOps<amrex::ReduceOpMax>::eval<amrex::FabArray<amrex::FArrayBox>, amrex::ReduceData<double>, T2::value_type amrex::FabArray<amrex::FArrayBox>::norminf<amrex::IArrayBox, amrex::FArrayBox, (int)0>(const amrex::FabArray<T1> &, int, int, const amrex::IntVectND<(int)2> &, bool) const::[lambda(int, int, int, int) (instance 1)]>(const T1 &, const amrex::IntVectND<(int)2> &, T2&, T3 &&)::[lambda(int, int, int) (instance 1)]>(T1, const amrex::BoxND<T2> &, int, T3 &, const T4 &)::[lambda() (instance 1)]>(T2)"
0.1,288151,258,1116.9,1088.0,1055,1472,83.9,"void amrex::launch_global<(int)256, std::enable_if<amrex::MaybeDeviceRunnable<T3, void>::value, void>::type amrex::ParallelFor<(int)256, int, void amrex::BaseFab<double>::setVal<(amrex::RunOn)0>(const double &, const amrex::BoxND<(int)2> &, amrex::DestComp, amrex::NumComps)::[lambda(int, int, int, int) (instance 1)], (int)2, void>(const amrex::Gpu::KernelInfo &, const amrex::BoxND<T4> &, T2, const T3 &)::[lambda() (instance 1)]>(T2)"
0.1,261787,12,21815.6,22064.0,4032,54399,16878.7,"void amrex::launch_global<(int)256, std::enable_if<amrex::MaybeDeviceRunnable<T3, void>::value, void>::type amrex::ParallelFor<(int)256, long, std::enable_if<!std::is_trivially_default_constructible_v, void>::type amrex::placementNew<Set::Matrix4<(int)2, (int)1>>(T1 *, long)::[lambda(long) (instance 1)], void>(const amrex::Gpu::KernelInfo &, T2, const T3 &)::[lambda() (instance 1)]>(T2)"
0.1,250938,18,13941.0,13008.0,5920,29279,7861.1,"void amrex::launch_global<(int)256, void amrex::ReduceOps<amrex::ReduceOpSum, amrex::ReduceOpSum, amrex::ReduceOpSum>::eval_box<amrex::Reduce::detail::iterate_box, (int)2, amrex::ReduceData<double, double, double>, Integrator::Flame::Integrate(int, double, int, const amrex::MFIter &, const amrex::BoxND<(int)2> &)::[lambda(int, int, int) (instance 1)]>(T1, const amrex::BoxND<T2> &, int, T3 &, const T4 &)::[lambda() (instance 1)]>(T2)"
0.1,247354,15,16490.3,7488.0,2912,50463,15851.4,"void amrex::launch_global<(int)256, std::enable_if<amrex::MaybeDeviceRunnable<T2, void>::value, void>::type amrex::ParallelFor<(int)256, IC::Expression::Add(const int &, Set::Field<double> &, double)::[lambda(int, int, int) (instance 1)], (int)2>(const amrex::Gpu::KernelInfo &, const amrex::BoxND<T3> &, const T2 &)::[lambda() (instance 1)]>(T2)"
0.0,194269,36,5396.4,5408.0,4704,6464,651.9,"void amrex::launch_global<(int)256, T1::Type amrex::ReduceOps<amrex::ReduceOpSum, amrex::ReduceOpSum, amrex::ReduceOpSum, amrex::ReduceOpSum>::value<amrex::ReduceData<double, double, double, double>>(T1&)::[lambda() (instance 1)]>(T2)"
0.0,168511,48,3510.6,3424.0,2496,4448,606.2,"void amrex::launch_global<(int)256, std::enable_if<amrex::MaybeDeviceRunnable<T3, void>::value, void>::type amrex::ParallelFor<(int)256, int, amrex::NodeBilinear::interp(const amrex::FArrayBox &, int, amrex::FArrayBox &, int, int, const amrex::BoxND<(int)2> &, const amrex::IntVectND<(int)2> &, const amrex::Geometry &, const amrex::Geometry &, const amrex::Vector<amrex::BCRec, std::allocator<amrex::BCRec>> &, int, int, amrex::RunOn)::[lambda(int, int, int, int) (instance 1)], (int)2, void>(const amrex::Gpu::KernelInfo &, const amrex::BoxND<T4> &, T2, const T3 &)::[lambda() (instance 1)]>(T2)"
0.0,158783,3,52927.7,44448.0,33760,80575,24532.4,"void amrex::launch_global<(int)256, std::enable_if<amrex::MaybeDeviceRunnable<T2, void>::value, void>::type amrex::ParallelFor<(int)256, Integrator::Base::Mechanics<Model::Solid::Finite::NeoHookeanPredeformed>::TimeStepBegin(double, int)::[lambda(int, int, int) (instance 1)], (int)2>(const amrex::Gpu::KernelInfo &, const amrex::BoxND<T3> &, const T2 &)::[lambda() (instance 1)]>(T2)"
