r,n,phi,eta,mu,srr_node,srr_face
0.056625,48,1.0,1.0,113599999.99999999,-3462866.629610967,-3462866.8120890274
0.056875,55,1.0,1.0,113600000.00000004,-3447321.3199705486,-3447280.153730661
0.057125,51,1.0,1.0,113600000.00000001,-3432503.5285723885,-3432701.3487640866
0.057375,38,1.0,1.0,113600000.0,-3422588.239979688,-3423034.642146731
0.057625,50,1.0,1.0,113599999.99999997,-3400214.1935873586,-3400791.0477532544
0.057875,50,1.0,1.0,113599999.99999999,-3387419.1423287936,-3387255.9728643154
0.058125,37,1.0,1.0,113600000.00000001,-3373564.033779154,-3373335.489105955
0.058375,31,1.0,1.0,113600000.00000003,-3360159.0773267252,-3360265.32886062
0.058625000000000003,45,1.0,1.0,113600000.0,-3349729.818761289,-3349762.4996206085
0.058875000000000004,44,1.0,1.0,113599999.99999999,-3328695.2855732916,-3329903.7005994054
0.059125000000000004,37,1.0,1.0,113599999.99999996,-3316399.9308884456,-3316188.4264330906
0.059375000000000004,43,1.0,1.0,113599999.99999999,-3302590.6461922275,-3302116.3754172493
0.059625000000000004,32,1.0,1.0,113600000.0,-3288858.3793335767,-3288439.315546715
0.059875000000000005,39,1.0,1.0,113600000.00000001,-3280688.0505071445,-3280859.8713480593
0.060125,34,1.0,1.0,113599999.99999999,-3267984.511207763,-3267889.6614899444
0.060375,42,1.0,1.0,113599999.99999999,-3247062.842980925,-3247923.6350250426
0.060625,41,1.0,1.0,113599999.99999997,-3237621.021499325,-3237824.355519215
0.060875,29,1.0,1.0,113600000.00000001,-3229676.9716006927,-3229699.47124786
0.061125,39,1.0,1.0,113599999.99999997,-3216345.8730771164,-3216919.566555494
0.061375,31,1.0,1.0,113600000.00000004,-3206847.587418322,-3206785.5150687397
0.061625,42,1.0,1.0,113599999.99999997,-3188141.628612144,-3190007.4823570657
0.061875,32,1.0,1.0,113599999.99999997,-3177784.803855579,-3177756.9129011063
0.062125,40,1.0,1.0,113599999.99999997,-3165457.80857775,-3165259.17310023
0.062375,33,1.0,1.0,113600000.0,-3152954.8913343726,-3153216.578396096
0.062625,38,1.0,1.0,113600000.00000001,-3147651.635851391,-3147980.303327969
0.062875,26,1.0,1.0,113599999.99999997,-3136996.2578848246,-3136709.954889657
0.063125,42,1.0,1.0,113599999.99999999,-3114770.4858039785,-3116203.0512208217
0.063375,37,1.0,1.0,113600000.00000001,-3107733.37409392,-3108237.954914732
0.063625,30,1.0,1.0,113600000.00000001,-3099803.8360717706,-3099254.9556294708
0.063875,34,1.0,1.0,113599999.99999999,-3089080.6433074516,-3089298.3936360907
0.064125,31,1.0,1.0,113600000.00000004,-3078220.319597454,-3078611.9846030916
0.064375,37,1.0,1.0,113600000.00000001,-3062557.760619514,-3065068.236672292
0.064625,29,1.0,1.0,113599999.99999997,-3054590.9829928568,-3054635.1409586603
0.064875,36,1.0,1.0,113599999.99999999,-3044460.048206248,-3044525.451938039
0.065125,33,1.0,1.0,113599999.99999999,-3036853.079877358,-3036535.258811317
0.065375,31,1.0,1.0,113600000.00000004,-3023369.0685391594,-3023876.413819358
