outer_bc,r,sig_rr,sig_tt,sig_rt_abs,mu,eta,level,n,ana_sig_r,ana_sig_th
free,0.07081825,-2907086.0556285344,-459046.4155323919,12615.042882653972,113600000.0,1.0,1,122,-3042208.9887510575,-393392.4335058769
free,0.07143675,-2873292.179231907,-478865.3542221462,12576.214992033309,113600000.0,1.0,1,151,-3019375.3164436114,-416226.1058133234
free,0.07205525,-2847547.5784114744,-499044.5234065382,12725.427873890125,113600000.0,1.0,1,149,-2997126.8168606376,-438474.6053962969
free,0.07267375000000001,-2824802.7057658103,-518131.5927061513,13311.446525101526,113600000.0,1.0,1,156,-2975443.673716431,-460157.74854050385
free,0.07329225,-2805160.85633697,-537153.8453600392,13298.656671061375,113600000.0,1.0,1,155,-2954306.90208445,-481294.5201724847
free,0.07391075,-2879460.920732814,-576908.9089945296,2898.1421161374046,113600000.0,1.0,2,5,-2933698.3069132986,-501903.1153436359
free,0.07452925,-2856917.404238633,-592565.4344055577,5212.696790268065,113600000.00002299,1.0,2,21,-2913601.3513275147,-522000.07092941983
free,0.07514775,-2815149.3488775096,-605345.850595144,10476.08494328089,113600000.00088662,1.0,2,66,-2893998.78976456,-541602.6324923747
free,0.07576625000000001,-2789515.234562941,-620542.1514345666,12266.345735358547,113600000.02550933,1.0,2,125,-2874874.0925539257,-560727.3297030089
free,0.07638475,-2770612.073689567,-637486.8627564966,12685.32309190162,113600000.80664802,1.0,2,209,-2856211.8602044946,-579389.5620524399
free,0.07700325,-2708978.0401198794,-646310.0718372879,13200.185518186283,113600028.91089967,1.0,2,419,-2837997.3082791013,-597604.1139778333
free,0.07762175,-2687462.9276824505,-661809.6489443686,13550.197861920198,113600869.24312791,1.0,2,545,-2820216.238165161,-615385.1840917738
free,0.07824025000000001,-2668438.6057090336,-674811.52532807,14715.86491989597,113629272.92433639,1.0,2,628,-2802855.917016146,-632745.5052407886
free,0.07885875,-2637633.2372365845,-697770.533204583,17391.542454064802,114575495.38227654,1.0,2,671,-2785902.489111371,-649698.9331455632
free,0.07947725,-2616964.9980625464,-851566.3502609548,30762.60401261288,146218441.1734974,1.0,2,697,-2769343.1255824906,-666258.2966744441
free,0.08009575,-2603831.6342464685,-1184243.316533694,40377.81951347098,1165081402.1595247,1.0,2,696,-2753165.7134740385,-682435.7087828958
free,0.08071425,-2597628.863087584,-1162014.796126185,23226.69852879364,15243031581.558735,1.0,2,713,-2734834.5147319976,13604436.715687422
free,0.08133275000000001,-2583115.5638522133,-945689.6558162298,23924.489279048925,25500870985.108906,1.0,2,719,-2611053.380782056,13480655.581736857
free,0.08195125,-2573032.7311100927,-929761.928359839,31362.35424789594,25984374469.09494,1.0,2,709,-2490065.3955151844,13359667.596468266
free,0.08256975,-2568280.185985427,-942200.5990955553,42543.12497037998,25999533477.315376,1.0,2,636,-2371784.711477354,13241386.912430137
free,0.08318825,-2565297.7560710846,-967010.1255058346,54220.92520796897,25999985214.448723,1.0,2,488,-2256133.9413280226,13125736.142280957
free,0.08380675,-2559164.162697329,-1004381.4252848323,62911.57090779891,25999999560.13524,1.0,2,372,-2143032.5770331356,13012634.777986038
free,0.08442525000000001,-2559884.830093912,-1045845.0784763788,70113.81410232565,25999999985.259846,1.0,2,228,-2032409.6560123127,12902011.856966313
free,0.08504375,-2562388.7509525907,-1120476.9980080829,76309.6539252727,25999999999.593647,1.0,2,131,-1924189.578928052,12793791.779883387
free,0.08566225,-2561540.835716438,-1169949.6287525373,86671.08006883839,25999999999.98642,1.0,2,70,-1818307.2352782623,12687909.436233688
free,0.08628075,-2560437.6092745103,-1242355.1353226101,87505.33646325153,25999999999.999657,1.0,2,37,-1714691.5452527248,12584293.74620815
free,0.08689925000000001,-2542793.700179982,-1258011.1190387094,83488.19023321087,25999999999.99998,1.0,2,15,-1613282.7346638134,12482884.935619237
free,0.08751775,-2525152.014318337,-1263256.0368529824,69594.64399776277,26000000000.0,1.0,2,2,-1514013.891017902,12383616.091973118
free,0.08813625,-2460977.4559371397,-1032025.2496289363,104022.16054355523,26000000000.0,1.0,1,161,-1416830.1112984,12286432.312253438
free,0.08875475,-2463426.162405222,-1018211.2581362557,112492.29952656786,26000000000.0,1.0,1,127,-1321668.3813689346,12191270.58232424
free,0.08937325,-2458947.7007813407,-1025441.2696525943,115041.00755080703,26000000000.0,1.0,1,126,-1228478.098371996,12098080.299327422
free,0.08999175000000001,-2457531.334472756,-1024262.5233696366,119056.53227939187,26000000000.0,1.0,1,112,-1137200.2578463545,12006802.458801778
free,0.09061025,-2455042.722675822,-1022271.4492674212,121642.3228802037,26000000000.0,1.0,1,93,-1047787.3762249908,11917389.577180414
free,0.09122875,-2453758.2079301868,-1024851.5141059223,124552.89083360604,26000000000.0,1.0,1,78,-960184.9138265465,11829787.114781972
free,0.09184725,-2439733.643170581,-1042232.1271514815,114975.33674418961,26000000000.0,1.0,1,75,-874348.0083180564,11743950.20927348
free,0.09246575,-2438112.843632169,-1030994.2340121821,131854.7742197693,26000000000.0,1.0,1,64,-790226.2198045951,11659828.42076002
free,0.09308425000000001,-2432098.0110206623,-1023888.2095739181,133431.42690628237,26000000000.0,1.0,1,58,-707777.1141120553,11577379.31506748
free,0.09370275,-2418273.621582197,-1026774.5429010964,125089.36165656541,26000000000.0,1.0,1,55,-626954.019527973,11496556.220483398
free,0.09432125,-2403033.266112395,-1028275.4179236769,131197.33684571454,26000000000.0,1.0,1,53,-547716.7541671762,11417318.9551226
free,0.09493975,-2410507.5618193615,-1009421.8774651873,144785.75129641363,26000000000.0,1.0,1,46,-470022.1128757734,11339624.313831199
free,0.09555825000000001,-2406181.6757972157,-1003785.0951468578,145602.93244821663,26000000000.0,1.0,1,38,-393832.0056282465,11263434.206583671
free,0.09617675,-2364935.623171846,-1021865.0244342935,132612.497273583,26000000000.0,1.0,1,44,-319106.419161172,11188708.620116597
free,0.09679525,-2381967.4601848056,-999493.6662012727,150464.34710192546,26000000000.0,1.0,1,33,-245809.20875800343,11115411.409713428
free,0.09741375,-2388822.187813301,-986224.6883933037,164181.09166046113,26000000000.0,1.0,1,30,-173903.30264652724,11043505.503601952
free,0.09803225,-2381379.569622497,-983437.0823750662,159663.8459128147,26000000000.0,1.0,1,25,-103354.36736205647,10972956.568317482
free,0.09865075000000001,-2361559.026949062,-972691.4148272937,165105.63541013777,26000000000.0,1.0,1,76,-34128.04410249893,10903730.245057924
